YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,45,53,32,11,660,376
2018-02,37,25,14,33,384,378
2018-03,47,46,19,22,471,307
2018-04,11,20,6,27,333,303
2018-05,23,9,13,11,371,245
2018-06,39,5,9,5,240,315
2018-07,25,6,10,6,202,304
2018-08,34,8,2,13,241,296
2018-09,41,19,13,4,257,209
2018-10,29,8,4,12,341,273
2018-11,38,2,11,5,279,245
2018-12,20,7,10,8,229,190
2019-01,13,26,9,0,281,298
2019-02,10,9,14,1,241,292
2019-03,7,11,3,5,257,335
2019-04,0,12,2,2,211,222
2019-05,2,16,8,3,207,257
2019-06,17,10,8,1,147,193
2019-07,5,18,6,7,158,274
2019-08,13,15,12,1,205,241
