YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,79,318,7,6,518,146
2018-02,87,281,1,5,314,93
2018-03,61,277,14,12,355,116
2018-04,36,203,4,4,382,135
2018-05,49,173,3,7,384,99
2018-06,41,111,0,5,331,102
2018-07,36,129,3,3,297,81
2018-08,49,178,3,6,269,69
2018-09,52,200,0,1,341,78
2018-10,51,334,5,2,414,97
2018-11,78,443,6,6,437,81
2018-12,66,331,1,2,293,58
2019-01,97,426,5,3,432,106
2019-02,70,459,2,4,429,95
2019-03,79,378,4,3,358,98
2019-04,56,267,4,1,351,98
2019-05,40,252,0,4,369,93
2019-06,30,138,1,4,314,81
2019-07,66,289,4,3,410,108
2019-08,60,338,9,2,386,98
