YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,0,7,1,18,62,68
2018-02,0,1,1,7,75,43
2018-03,0,4,1,10,52,17
2018-04,0,13,0,3,49,34
2018-05,0,6,0,4,30,21
2018-06,0,6,0,0,78,20
2018-07,0,5,1,2,58,25
2018-08,0,6,1,1,31,23
2018-09,0,5,0,3,27,14
2018-10,0,3,0,5,44,15
2018-11,0,0,1,2,43,10
2018-12,0,1,1,2,22,10
2019-01,0,3,0,3,31,9
2019-02,0,8,0,1,22,12
2019-03,0,6,1,2,21,20
2019-04,0,3,0,2,17,14
2019-05,0,1,2,2,23,17
2019-06,0,1,2,2,25,18
2019-07,0,3,1,3,13,18
2019-08,0,1,0,0,20,10
