YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,Ungeklaert,998,2826,2799,27,1574,0,1532,1,0,18,23,12397,331,0,1499,1,0,17,21,0,33,0,0,1,2,0
2016-02,Ungeklaert,998,3397,3358,39,1123,6,1038,4,2,38,35,15306,353,3,1029,4,1,38,26,3,9,0,1,0,2,7
2016-03,Ungeklaert,998,1884,1869,15,791,1,661,27,4,40,58,16946,349,1,639,27,4,40,56,0,22,0,0,0,2,0
2016-04,Ungeklaert,998,1319,1299,20,629,0,394,102,2,36,95,17885,360,0,382,102,2,36,89,0,12,0,0,0,3,3
2016-05,Ungeklaert,998,1091,1077,14,484,4,269,110,1,31,69,18551,363,4,266,108,1,30,66,0,3,2,0,1,2,1
2016-06,Ungeklaert,998,1217,1211,6,1262,8,716,361,11,54,112,18324,350,8,707,356,11,54,105,0,9,5,0,0,1,6
2016-07,Ungeklaert,998,1292,1283,9,1034,0,352,508,5,52,117,18396,336,0,339,500,5,52,112,0,13,8,0,0,3,2
2016-08,Ungeklaert,998,1687,1678,9,1313,0,319,830,2,73,89,18322,332,0,316,822,2,72,86,0,3,8,0,1,1,2
2016-09,Ungeklaert,998,1252,1235,17,2031,0,359,1429,16,77,150,16628,338,0,355,1421,16,76,139,0,4,8,0,1,7,4
2016-10,Ungeklaert,998,488,483,5,1676,1,372,1065,8,101,129,14231,376,1,363,1060,8,99,120,0,9,5,0,2,5,4
2016-11,Ungeklaert,998,527,507,20,2024,3,438,1061,36,295,191,11655,379,3,437,1039,30,293,169,0,1,22,6,2,9,13
2016-12,Ungeklaert,998,484,467,17,1526,3,304,596,29,377,217,10223,363,3,293,586,26,372,205,0,11,10,3,5,2,10
2017-01,Ungeklaert,998,307,295,12,1219,3,265,403,11,273,264,9001,334,3,262,398,10,263,241,0,3,5,1,10,14,9
2017-02,Ungeklaert,998,313,293,20,1265,6,253,428,17,289,272,7860,295,6,250,427,14,283,246,0,3,1,3,6,17,9
2017-03,Ungeklaert,998,490,461,29,1321,4,295,434,28,341,219,6779,283,4,292,430,28,336,184,0,3,4,0,5,22,13
2017-04,Ungeklaert,998,374,346,28,1026,6,273,260,40,269,178,6062,266,6,267,259,38,257,154,0,6,1,2,12,16,8
2017-05,Ungeklaert,998,377,357,20,1897,1,458,490,109,564,275,4300,222,1,455,486,107,553,244,0,3,4,2,11,17,14
