YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201601,Afghanistan,423,4949,4917,32,699,0,191,36,103,149,220,43375,920,0,181,36,99,146,193,0,10,0,4,3,17,10
201602,Afghanistan,423,7298,7268,30,822,8,211,63,107,226,207,51114,919,7,205,63,103,220,183,1,6,0,4,6,17,7
201603,Afghanistan,423,7597,7567,30,716,1,226,48,75,232,134,59212,915,0,209,46,70,228,121,1,17,2,5,4,8,5
201604,Afghanistan,423,8483,8458,25,872,3,170,93,91,319,196,68376,915,3,165,93,89,315,172,0,5,0,2,4,20,4
201605,Afghanistan,423,9124,9091,33,1428,9,349,142,117,591,220,78745,912,9,340,142,114,590,195,0,9,0,3,1,18,7
201606,Afghanistan,423,15109,15055,54,3056,20,720,336,242,1481,257,94979,929,20,696,334,238,1473,246,0,24,2,4,8,9,2
201607,Afghanistan,423,16229,16188,41,4688,22,1029,463,565,2176,433,109632,890,21,998,456,545,2162,391,1,31,7,20,14,32,10
201608,Afghanistan,423,19880,19840,40,5713,10,1122,481,903,2679,518,124973,867,10,1105,480,887,2667,476,0,17,1,16,12,33,9
201609,Afghanistan,423,14483,14434,49,7704,2,1331,487,2225,3094,565,132525,892,2,1321,481,2223,3075,527,0,10,6,2,19,21,17
201610,Afghanistan,423,5385,5351,34,9985,1,1990,875,3360,3189,570,128369,1147,1,1987,870,3355,3186,549,0,3,5,5,3,18,3
201611,Afghanistan,423,2995,2937,58,16331,0,3281,1437,5800,4786,1027,115552,1403,0,3265,1433,5776,4783,969,0,16,4,24,3,19,39
201612,Afghanistan,423,1904,1822,82,16514,19,3109,1372,4834,5931,1249,101382,1474,19,3094,1367,4786,5924,1129,0,15,5,48,7,75,45
201701,Afghanistan,423,1556,1442,114,14107,6,2461,902,3012,6658,1068,89569,1317,6,2444,899,2989,6641,985,0,17,3,23,17,57,26
201702,Afghanistan,423,1576,1492,84,15616,21,2575,944,3317,7748,1011,76264,1183,21,2563,942,3304,7704,920,0,12,2,13,44,54,37
201703,Afghanistan,423,2223,2093,130,19871,21,3108,1103,4316,10251,1072,59372,984,21,3089,1099,4277,10213,897,0,19,4,39,38,123,52
201704,Afghanistan,423,1208,1131,77,14996,10,2229,814,3489,7763,691,46119,856,10,2215,806,3447,7720,595,0,14,8,42,43,54,42
201705,Afghanistan,423,1374,1268,106,19349,10,2914,1232,4405,9944,844,28824,674,9,2878,1217,4328,9888,697,1,36,15,77,56,96,51
201706,Afghanistan,423,1243,1119,124,3212,5,469,229,751,1435,323,26986,721,5,462,225,738,1419,272,0,7,4,13,16,41,10
201707,Afghanistan,423,1240,1109,131,586,0,138,38,27,17,366,27687,872,0,136,35,27,17,345,0,2,3,0,0,2,19
201708,Afghanistan,423,1459,1315,144,3422,6,609,214,857,1270,466,25909,904,6,593,212,810,1256,328,0,16,2,47,14,63,75
201709,Afghanistan,423,1085,925,160,9004,19,1187,537,2321,4273,667,18531,776,19,1154,520,2263,4227,437,0,33,17,58,46,143,87
