YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,"Iran, Islamische Republik",439,1087,1061,26,251,15,118,0,5,55,58,8655,624,14,105,0,4,49,54,1,13,0,1,6,0,4
2016-02,"Iran, Islamische Republik",439,1644,1626,18,300,13,147,5,8,71,56,10121,624,13,145,5,8,64,51,0,2,0,0,7,3,2
2016-03,"Iran, Islamische Republik",439,1715,1693,22,277,19,143,1,3,46,65,11639,627,18,136,1,0,41,60,1,7,0,3,5,4,1
2016-04,"Iran, Islamische Republik",439,2001,1981,20,339,19,153,1,0,74,92,13402,628,19,144,1,0,70,87,0,9,0,0,4,4,1
2016-05,"Iran, Islamische Republik",439,2089,2062,27,275,21,105,6,2,52,89,15365,639,21,104,3,2,47,81,0,1,3,0,5,3,5
2016-06,"Iran, Islamische Republik",439,3068,3031,37,574,70,261,10,7,121,105,18037,646,69,246,10,4,111,96,1,15,0,3,10,7,2
2016-07,"Iran, Islamische Republik",439,3640,3618,22,618,33,263,21,4,166,131,21202,633,32,253,21,3,152,114,1,10,0,1,14,9,8
2016-08,"Iran, Islamische Republik",439,3829,3808,21,771,47,288,23,3,247,163,24377,607,46,275,22,2,236,147,1,13,1,1,11,9,7
2016-09,"Iran, Islamische Republik",439,3374,3351,23,1052,36,427,31,12,370,176,26788,595,36,414,31,7,354,157,0,13,0,5,16,14,5
2016-10,"Iran, Islamische Republik",439,1807,1787,20,1625,54,662,29,19,640,221,26989,636,54,650,28,17,638,189,0,12,1,2,2,15,17
2016-11,"Iran, Islamische Republik",439,1075,1041,34,2352,72,1000,55,34,862,329,25717,686,72,981,51,22,848,273,0,19,4,12,14,34,22
2016-12,"Iran, Islamische Republik",439,781,772,9,3148,54,1414,71,52,1104,453,23392,653,54,1378,71,47,1091,425,0,36,0,5,13,17,11
2017-01,"Iran, Islamische Republik",439,926,888,38,3999,66,1995,98,46,1431,363,20412,607,66,1975,98,37,1422,337,0,20,0,9,9,19,7
2017-02,"Iran, Islamische Republik",439,763,722,41,3730,62,1917,95,31,1275,350,17536,601,61,1912,95,30,1261,331,1,5,0,1,14,9,10
2017-03,"Iran, Islamische Republik",439,817,767,50,4310,71,2165,89,61,1490,434,14249,511,69,2127,88,53,1471,366,2,38,1,8,19,47,21
